,var1(t-1),var2(t-1),var3(t-1),var4(t-1),var1(t)
165,0.5723271,0.06024096,0.19753085,0.6869301,0.37735847
166,0.37735847,0.06024096,0.19753085,0.5805471,0.41509435
167,0.41509435,0.06024096,0.22222222,0.5987842,0.42976937
168,0.42976937,0.04819277,0.18106996,0.60587645,0.4444444
169,0.4444444,0.036144577,0.13991772,0.61296856,0.45911947
170,0.45911947,0.024096385,0.09876543,0.6200608,0.5723271
171,0.5723271,0.06024096,0.2469136,0.6869301,0.33962262
172,0.33962262,0.072289154,0.30864197,0.56231004,0.37106916
173,0.37106916,0.09638554,0.32098764,0.5775076,0.29559746
174,0.29559746,0.072289154,0.25925928,0.54103345,0.34905657
175,0.34905657,0.09638554,0.40123457,0.5668693,0.40251568
176,0.40251568,0.12048192,0.5432099,0.5927052,0.6415094
177,0.6415094,0.09638554,0.45679015,0.7386018,0.5220126
178,0.5220126,0.19277108,0.34567904,0.65349543,0.47169808
179,0.47169808,0.08433735,0.49382716,0.6261399,0.6477987
180,0.6477987,0.08433735,0.45679015,0.74164134,0.46540877
181,0.46540877,0.19277108,0.49382716,0.6231003,0.509434
182,0.509434,0.13855422,0.40123457,0.36930093,0.5534591
183,0.5534591,0.08433735,0.30864197,0.674772,0.6069182
184,0.6069182,0.10240963,0.5123457,0.71276593,0.6603774
185,0.6603774,0.12048192,0.7160494,0.7507599,0.5408805
186,0.5408805,0.09638554,0.53086424,0.6656535,0.42767295
187,0.42767295,0.072289154,0.27160496,0.6048632,0.42138365
188,0.42138365,0.06024096,0.22222222,0.6018237,0.46226415
189,0.46226415,0.08433735,0.4320988,0.6215806,0.5031447
190,0.5031447,0.10843372,0.64197534,0.6413374,0.5283019
191,0.5283019,0.08433735,0.3703704,0.65653497,0.45283017
192,0.45283017,0.06024096,0.2345679,0.6170213,0.28930816
193,0.28930816,0.072289154,0.25925928,0.5379939,0.36477986
194,0.36477986,0.09638554,0.5185185,0.57446814,0.509434
195,0.509434,0.06024096,0.25925928,0.6443769,0.5849057
196,0.5849057,0.090361446,0.35185188,0.39665654,0.6603774
197,0.6603774,0.12048192,0.44444448,0.7507599,0.37106916
198,0.37106916,0.072289154,0.2962963,0.5775076,0.30188677
199,0.30188677,0.09638554,0.45679015,0.544073,0.48427668
200,0.48427668,0.08433735,0.32098764,0.63221884,0.5534591
201,0.5534591,0.08433735,0.28395063,0.674772,0.509434
202,0.509434,0.072289154,0.30864197,0.6443769,0.35220125
203,0.35220125,0.06024096,0.26543212,0.56838906,0.19496855
204,0.19496855,0.04819277,0.22222222,0.49240124,0.163522
205,0.163522,0.024096385,0.11111112,0.47720367,0.49685535
206,0.49685535,0.08433735,0.32098764,0.6382979,0.39622638
207,0.39622638,0.09638554,0.46913582,0.58966565,0.49056605
208,0.49056605,0.072289154,0.27160496,0.6352584,0.42138365
209,0.42138365,0.06024096,0.2345679,0.6018237,0.5031447
210,0.5031447,0.08433735,0.4320988,0.3920973,0.5849057
211,0.5849057,0.10843372,0.6296297,0.69908816,0.5408805
212,0.5408805,0.09638554,0.41975313,0.6656535,0.35849056
213,0.35849056,0.072289154,0.27160496,0.5714286,0.6163522
214,0.6163522,0.09638554,0.50617284,0.72036475,0.672956
215,0.672956,0.13253012,0.49382716,0.7598784,0.47169808
216,0.47169808,0.08433735,0.41975313,0.6261399,0.49895176
217,0.49895176,0.08433735,0.41152263,0.42147923,0.5262054
218,0.5262054,0.08433735,0.40329224,0.4701115,0.5534591
219,0.5534591,0.08433735,0.39506173,0.674772,0.5471698
220,0.5471698,0.072289154,0.2469136,0.66869307,0.45911947
221,0.45911947,0.08433735,0.28395063,0.6200608,0.35849056
222,0.35849056,0.12048192,0.44444448,0.5714286,0.36477986
223,0.36477986,0.10843372,0.35802472,0.57446814,0.3333333
224,0.3333333,0.090361446,0.32098764,0.5592705,0.30188677
225,0.30188677,0.072289154,0.28395063,0.544073,0.6603774
226,0.6603774,0.13253012,0.45679015,0.75379944,0.35220125
227,0.35220125,0.036144577,0.17283951,0.56838906,0.22641507
228,0.22641507,0.04819277,0.22222222,0.5075988,0.1509434
229,0.1509434,0.036144577,0.22222222,0.47112465,0.5786164
230,0.5786164,0.10843372,0.5432099,0.69300914,0.5503145
231,0.5503145,0.09638554,0.41358024,0.67173254,0.5220126
232,0.5220126,0.08433735,0.28395063,0.65045595,0.48427668
233,0.48427668,0.10843372,0.44444448,0.63221884,0.45911947
234,0.45911947,0.06024096,0.35802472,0.6200608,0.5440252
