var1(t-1),var2(t-1),var3(t-1),var4(t-1),var1(t)
0.057894737,0.036144577,0.047680408,0.4544073,0.05263158
0.05263158,0.012048192,0.051546387,0.43769,0.065789476
0.065789476,0.04819277,0.03865979,0.47416413,0.086842105
0.086842105,0.06024096,0.04381443,0.49848026,0.10526316
0.10526316,0.06024096,0.046391748,0.51975685,0.089473695
0.089473695,0.06024096,0.048969068,0.5015198,0.09736842
0.09736842,0.06024096,0.054123707,0.5106383,0.10000001
0.10000001,0.06425702,0.05498282,0.51367784,0.102631584
0.102631584,0.0682731,0.055841915,0.5167173,0.10526316
0.10526316,0.072289154,0.056701027,0.51975685,0.08859649
0.08859649,0.0682731,0.055841915,0.49949342,0.07192983
0.07192983,0.06425702,0.05498282,0.47923002,0.05526316
0.05526316,0.06024096,0.054123707,0.45896658,0
0,0,0.010309277,0.3951368,0.026315793
0.026315793,0.030120477,0.029639175,0.4270517,0.05263158
0.05263158,0.06024096,0.048969068,0.45896658,0.05526316
0.05526316,0.06024096,0.054123707,0.44984806,0.06052632
0.06052632,0.06024096,0.04381443,0.4680851,0.10000001
0.10000001,0.04819277,0.03865979,0.51367784,0.102631584
0.102631584,0.072289154,0.04381443,0.5167173,0.07894738
0.07894738,0,0.010309277,0.4893617,0.1013158
0.1013158,0.030120477,0.027061855,0.5151976,0.12368421
0.12368421,0.06024096,0.04381443,0.54103345,0.10526316
0.10526316,0.04819277,0.03865979,0.51975685,0.10639098
0.10639098,0.05163511,0.04234168,0.5210595,0.10751881
0.10751881,0.05507745,0.046023563,0.5223622,0.10864662
0.10864662,0.058519788,0.049705446,0.52366483,0.10977444
0.10977444,0.061962135,0.05338733,0.52496743,0.110902265
0.110902265,0.065404475,0.057069212,0.5262701,0.11203009
0.11203009,0.068846814,0.060751103,0.52757275,0.1131579
0.1131579,0.072289154,0.064432986,0.5288754,0.15263158
0.15263158,0.04819277,0.04381443,0.57446814,0.15526317
0.15526317,0.072289154,0.079896905,0.5775076,0.10526316
0.10526316,0.09638554,0.0927835,0.51975685,0.16052632
0.16052632,0.08433735,0.100515455,0.58358663,0.1513158
0.1513158,0.07831325,0.08891752,0.57294834,0.14210527
0.14210527,0.072289154,0.077319585,0.56231004,0.14210527
0.14210527,0.072289154,0.077319585,0.56231004,0.14736843
0.14736843,0.09638554,0.087628864,0.56838906,0.20526318
0.20526318,0.10240963,0.09664948,0.42401218,0.2631579
0.2631579,0.10843372,0.105670094,0.7294833,0.17368422
0.17368422,0.08433735,0.072164945,0.5987842,0.13157895
0.13157895,0.072289154,0.056701027,0.550152,0.089473695
0.089473695,0.06024096,0.04123711,0.5015198,0.24736844
0.24736844,0.072289154,0.054123707,0.7021277,0.102631584
0.102631584,0.072289154,0.056701027,0.5167173,0.1631579
0.1631579,0.06024096,0.048969068,0.5866262,0.20394738
0.20394738,0.06626506,0.052835047,0.3981763,0.24473687
0.24473687,0.072289154,0.056701027,0.6960486,0.2008772
0.2008772,0.0682731,0.055841915,0.5167173,0.15701754
0.15701754,0.06425702,0.05498282,0.34954408,0.1131579
0.1131579,0.06024096,0.054123707,0.5288754,0.106578946
0.106578946,0.072289154,0.054123707,0.5212766,0.10000001
0.10000001,0.08433735,0.054123707,0.51367784,0.14473686
0.14473686,0.08433735,0.069587626,0.5653496,0.15526317
0.15526317,0.08433735,0.061855666,0.5775076,0.15657896
0.15657896,0.072289154,0.055412367,0.57902735,0.15789475
0.15789475,0.06024096,0.048969068,0.5805471,0.05526316
0.05526316,0.06024096,0.054123707,0.4620061,0.2
0.2,0.04819277,0.046391748,0.62917936,0.17894737
0.17894737,0.072289154,0.054123707,0.6048632,0.21447368
0.21447368,0.07831325,0.067010306,0.39361703,0.25
0.25,0.08433735,0.079896905,0.7051672,0.23947369
0.23947369,0.072289154,0.070876285,0.68844986,0.22894739
0.22894739,0.06024096,0.061855666,0.67173254,0.22105263
0.22105263,0.08433735,0.074742265,0.65653497,0.2236842
0.2236842,0.072289154,0.061855666,0.6595745,0.22894739
0.22894739,0.10843372,0.100515455,0.67173254,0.31315792
0.31315792,0.09638554,0.11855669,0.8145897,0.4052632
0.4052632,0.10843372,0.11597937,0.9756839,0.3
0.3,0.090361446,0.08891752,0.51975685,0.19473685
0.19473685,0.072289154,0.061855666,0.6231003,0.18947369
0.18947369,0.072289154,0.055412367,0.6170213,0.18421054
0.18421054,0.072289154,0.048969068,0.61094224,0.15789475
0.15789475,0.06024096,0.048969068,0.5805471,0.18092106
0.18092106,0.06626506,0.054123707,0.43085107,0.20394738
0.20394738,0.072289154,0.059278347,0.4057751,0.2269737
0.2269737,0.07831325,0.064432986,0.5554711,0.25
0.25,0.08433735,0.069587626,0.7051672,0.16842106
0.16842106,0.08433735,0.069587626,0.5927052,0.2
0.2,0.09638554,0.097938135,0.62917936,0.20789476
0.20789476,0.06024096,0.04381443,0.6382979,0.14736843
0.14736843,0.072289154,0.059278347,0.56838906,0.094736844
0.094736844,0.06024096,0.051546387,0.5075988,0.13552633
0.13552633,0.06024096,0.051546387,0.5547113,0.1763158
0.1763158,0.06024096,0.051546387,0.6018237,0.10526316
0.10526316,0.072289154,0.061855666,0.51975685,0.17236842
0.17236842,0.08433735,0.083762884,0.4270517,0.23947369
0.23947369,0.09638554,0.105670094,0.6869301,0.32105267
0.32105267,0.10843372,0.097938135,0.82978725,0.15526317
0.15526317,0.08433735,0.082474224,0.5775076,0.13684212
0.13684212,0.07831325,0.068298966,0.556231,0.11842106
0.11842106,0.072289154,0.054123707,0.5349544,0.14736843
0.14736843,0.08433735,0.018041236,0.56838906,0.20789476
0.20789476,0.14457831,0.15206185,0.6382979,0.26842105
