,date,so2,no2,RSPM,AQI
315,2010-06-07,12.0,20.0,73.0,73.0
316,2010-06-08,7.0,16.0,65.0,65.0
317,2010-06-09,11.0,32.0,81.0,81.0
318,2010-06-10,12.0,32.0,-120.0,113.0
319,2010-06-11,9.0,29.0,-111.0,107.0
320,2010-06-12,8.0,25.0,-117.0,111.0
321,2010-06-13,7.0,21.0,-23.5,90.5
322,2010-06-14,6.0,17.0,70.0,70.0
323,2010-06-15,5.0,15.0,34.0,34.0
324,2010-06-16,5.0,11.0,22.0,22.0
325,2010-06-17,43.0,13.0,18.0,54.0
326,2010-06-18,7.0,19.0,53.0,53.0
327,2010-06-19,6.666666666666667,18.666666666666668,46.666666666666664,46.666666666666664
328,2010-06-20,6.333333333333333,18.333333333333332,40.333333333333336,40.333333333333336
329,2010-06-21,6.0,18.0,34.0,34.0
330,2010-06-22,6.0,18.0,37.0,37.0
331,2010-06-23,5.0,16.0,39.0,39.0
332,2010-06-24,9.0,25.0,49.0,49.0
333,2010-06-25,9.0,29.0,57.0,57.0
334,2010-06-26,6.0,18.0,34.0,34.0
335,2010-06-27,7.5,21.0,59.0,59.0
336,2010-06-28,9.0,24.0,84.0,84.0
337,2010-06-29,8.0,21.0,75.0,75.0
338,2010-06-30,7.0,22.0,41.0,41.0
339,2010-07-01,6.0,20.0,36.0,36.0
340,2010-07-02,9.0,30.0,59.0,59.0
341,2010-07-03,6.0,19.0,34.0,34.0
342,2010-07-04,6.5,18.5,33.0,33.0
343,2010-07-05,7.0,18.0,32.0,32.0
344,2010-07-06,9.875,17.0,29.5,31.0
345,2010-07-07,12.75,16.0,27.0,30.0
346,2010-07-08,15.625,15.0,24.5,29.0
347,2010-07-09,18.5,14.0,22.0,28.0
348,2010-07-10,21.375,13.0,19.5,27.0
349,2010-07-11,24.25,12.0,17.0,26.0
350,2010-07-12,27.125,11.0,14.5,25.0
351,2010-07-13,30.0,10.0,12.0,24.0
352,2010-07-14,18.0,16.0,26.5,32.5
353,2010-07-15,6.0,22.0,41.0,41.0
354,2010-07-16,6.0,21.0,40.0,40.0
355,2010-07-17,6.0,20.0,39.0,39.0
356,2010-07-18,6.333333333333333,21.333333333333332,41.0,41.0
357,2010-07-19,6.666666666666667,22.666666666666668,43.0,43.0
358,2010-07-20,7.0,24.0,45.0,45.0
359,2010-07-21,12.0,36.0,78.0,78.0
360,2010-07-22,7.0,21.0,51.0,51.0
361,2010-07-23,9.0,31.0,75.0,75.0
362,2010-07-24,5.0,17.0,49.0,49.0
363,2010-07-25,5.333333333333333,16.666666666666668,48.0,48.0
364,2010-07-26,5.666666666666667,16.333333333333332,47.0,47.0
